Task,Image,CommandLine,TargetFilename,ImageLoaded,PipeName,QueryName,EventType
17,C:\Program Files\PowerShell\7\pwsh.exe,-,-,-,\dotnet-diagnostic-8200,-,CreatePipe
17,C:\Program Files\PowerShell\7\pwsh.exe,-,-,-,\PSHost.133499782794190546.8200.DefaultAppDomain.pwsh,-,CreatePipe
1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -Version 5.1 -s -NoLogo -NoProfile",-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\ntdll.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\kernel32.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\KernelBase.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\msvcrt.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\oleaut32.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\msvcp_win.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\ucrtbase.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\combase.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\user32.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\rpcrt4.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\win32u.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\advapi32.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\gdi32.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\sechost.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\gdi32full.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\ole32.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\imm32.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\atl.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\shlwapi.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\mscoree.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\kernel.appcore.dll,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\version.dll,-,-,-
